Product_1,Product_2,num_baskets
122,136,5
122,465,5
122,473,4
122,74,4
136,465,1
136,473,4
136,74,5
465,473,8
465,74,1
473,74,6
189,297,8
189,452,7
297,452,7
104,205,4
104,328,4
104,340,5
205,328,6
205,340,3
328,340,6
121,374,4
121,69,7
374,69,4
39,493,4
39,70,5
493,70,6
112,327,3
112,335,7
112,340,5
327,335,4
327,340,4
335,340,4
104,120,5
104,192,4
104,455,11
120,192,4
120,455,4
192,455,6
23,339,9
23,384,4
23,401,4
23,44,9
339,384,6
339,401,8
339,44,6
384,401,7
384,44,5
401,44,4
112,183,4
112,509,7
112,79,2
183,509,4
183,79,7
509,79,5
349,408,7
173,418,5
173,434,5
173,64,4
173,96,5
418,434,2
418,64,3
418,96,2
434,64,5
434,96,2
64,96,6
101,109,2
101,120,4
101,224,4
109,120,2
109,224,2
120,224,4
136,376,4
104,270,5
104,417,3
104,479,4
270,417,2
270,479,4
417,479,5
105,202,5
105,33,6
202,33,6
143,459,3
172,43,9
147,242,6
147,405,4
242,405,4
108,248,5
108,389,7
108,7,5
248,389,7
248,7,7
389,7,4
212,29,7
212,355,6
212,376,6
212,479,5
29,355,5
29,376,3
29,479,3
355,376,2
355,479,5
376,479,8
56,9,3
172,409,4
134,74,3
352,441,3
177,252,5
177,292,5
252,292,7
146,160,9
146,260,4
146,266,6
146,470,3
160,260,3
160,266,4
160,470,6
260,266,4
260,470,6
266,470,4
247,285,5
247,383,4
247,468,3
285,383,3
285,468,2
383,468,3
109,54,5
22,263,4
22,74,4
22,87,3
263,74,3
263,87,2
74,87,5
248,301,7
248,339,5
248,77,7
248,81,6
301,339,1
301,77,6
301,81,3
339,77,1
339,81,3
77,81,6
107,152,8
107,257,3
107,288,3
107,7,3
152,257,5
152,288,6
152,7,10
257,288,5
257,7,2
288,7,4
295,400,5
295,65,4
295,93,9
400,65,5
400,93,3
65,93,3
156,24,4
156,249,6
156,426,6
156,496,5
24,249,2
24,426,6
24,496,3
249,426,2
249,496,7
426,496,8
259,289,5
259,381,6
289,381,4
226,313,3
226,393,2
226,471,5
313,393,5
313,471,4
393,471,11
147,393,6
229,45,4
120,129,5
120,153,8
120,363,7
120,473,3
129,153,7
129,363,5
129,473,7
153,363,6
153,473,6
363,473,7
112,216,5
112,334,5
112,349,6
216,334,4
216,349,4
334,349,4
493,81,7
284,368,2
284,47,7
368,47,3
175,180,4
175,254,5
175,296,6
175,42,5
180,254,4
180,296,7
180,42,5
254,296,5
254,42,6
296,42,9
222,303,5
222,487,5
303,487,4
0,282,5
199,300,6
286,490,4
286,59,6
490,59,4
112,143,2
112,241,6
112,300,4
143,241,4
143,300,7
241,300,4
288,324,7
288,469,4
288,48,5
288,481,6
324,469,7
324,48,5
324,481,3
469,48,4
469,481,7
48,481,3
132,222,12
132,65,4
222,65,5
149,18,6
149,313,2
149,38,2
149,60,9
18,313,8
18,38,1
18,60,2
313,38,7
313,60,9
38,60,1
14,220,3
14,298,8
14,350,7
220,298,5
220,350,8
298,350,5
186,314,8
186,344,6
314,344,6
350,376,5
350,501,3
376,501,9
153,194,6
153,415,3
153,454,5
194,363,8
194,415,3
194,454,9
363,415,10
363,454,6
415,454,6
114,149,5
114,18,3
114,296,2
114,340,8
149,296,2
149,340,6
18,296,7
18,340,4
296,340,5
14,191,4
14,240,6
14,73,4
191,240,3
191,73,6
240,73,6
185,252,5
185,263,3
252,263,7
20,318,3
20,341,2
318,341,1
100,204,3
100,281,5
100,352,5
100,45,7
204,281,3
204,352,2
204,45,9
281,352,6
281,45,5
352,45,6
193,201,6
193,244,4
193,327,9
193,362,3
201,244,4
201,327,1
201,362,6
244,327,7
244,362,6
327,362,3
211,311,6
211,327,5
211,337,5
211,359,7
311,327,3
311,337,5
311,359,6
327,337,7
327,359,3
337,359,3
155,268,4
155,28,2
155,348,6
155,408,2
268,28,8
268,348,10
268,408,7
28,348,6
28,408,2
348,408,3
277,373,3
277,69,5
373,69,5
185,200,4
185,227,6
185,49,3
200,227,1
200,49,5
227,49,3
266,376,1
189,222,2
189,382,4
189,489,3
189,494,8
222,382,5
222,489,2
222,494,4
